player_id,web_name,full_name,team_id,team_name,position,now_cost,status,selected_percent,form,points_per_game,total_points,minutes_season,ict_index,influence,creativity,threat,chance_play_next,gw_xmins,gw_fixture,gw_fdr,gw_is_home,news,news_added,gw,generated_utc
36,Cash,Matty Cash,2,Aston Villa,DEF,46,a,5.6,5.8,4.7,52,966,43.1,233.6,139.2,57.0,,0.0,Bournemouth (H),3,1,,,11,2025-11-14T06:38:28.636215
37,Digne,Lucas Digne,2,Aston Villa,DEF,45,a,1.6,5.2,3.8,42,817,39.9,161.4,181.5,58.0,100.0,80.0,Bournemouth (H),3,1,,2025-10-23T13:30:07.954318Z,11,2025-11-14T06:38:28.636215
38,Konsa,Ezri Konsa Ngoyo,2,Aston Villa,DEF,44,a,8.4,4.2,3.3,33,875,23.9,178.2,27.4,33.0,100.0,80.0,Bournemouth (H),3,1,,2025-08-16T19:30:05.327199Z,11,2025-11-14T06:38:28.636215
39,Maatsen,Ian Maatsen,2,Aston Villa,DEF,42,a,0.4,0.8,0.9,6,169,15.1,49.0,78.7,22.0,,0.0,Bournemouth (H),3,1,,,11,2025-11-14T06:38:28.636215
40,Mings,Tyrone Mings,2,Aston Villa,DEF,44,d,0.8,0.2,3.4,24,497,19.0,120.2,44.6,25.0,25.0,20.0,Bournemouth (H),3,1,Hamstring injury - 25% chance of playing,2025-11-02T00:00:09.519584Z,11,2025-11-14T06:38:28.636215
41,Pau,Pau Torres,2,Aston Villa,DEF,43,a,0.4,4.2,3.1,25,597,15.5,126.8,11.5,15.0,,0.0,Bournemouth (H),3,1,,,11,2025-11-14T06:38:28.636215
42,A.García,Andrés García,2,Aston Villa,DEF,39,i,0.2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth (H),3,1,Knock - Unknown return date,2025-10-23T13:30:07.986013Z,11,2025-11-14T06:38:28.636215
43,Alex Moreno,Álex Moreno Lopera,2,Aston Villa,DEF,40,u,2.3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth (H),3,1,Has joined Girona permanently.,2025-08-26T13:45:03.013808Z,11,2025-11-14T06:38:28.636215
44,Bogarde,Lamare Bogarde,2,Aston Villa,DEF,40,a,0.6,0.2,2.3,16,291,6.8,30.6,32.4,6.0,,0.0,Bournemouth (H),3,1,,,11,2025-11-14T06:38:28.636215
45,Sousa,Lino da Cruz Sousa,2,Aston Villa,DEF,39,a,0.3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,Bournemouth (H),3,1,,,11,2025-11-14T06:38:28.636215
46,Yasin,Yasin Özcan,2,Aston Villa,DEF,40,u,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth (H),3,1,has joined Anderlecht on loan for the rest of the season.,2025-09-22T21:15:59.805053Z,11,2025-11-14T06:38:28.636215
47,Rogers,Morgan Rogers,2,Aston Villa,MID,68,a,4.9,3.2,3.2,35,976,45.0,143.4,154.4,152.0,100.0,80.0,Bournemouth (H),3,1,,2025-08-10T22:00:04.458365Z,11,2025-11-14T06:38:28.636215
48,Tielemans,Youri Tielemans,2,Aston Villa,MID,59,a,0.6,1.0,2.4,12,334,17.1,55.4,84.4,31.0,100.0,80.0,Bournemouth (H),3,1,,2025-09-14T22:00:07.795199Z,11,2025-11-14T06:38:28.636215
49,Bailey,Leon Bailey,2,Aston Villa,MID,55,u,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth (H),3,1,Has joined AS Roma on loan for the rest of the season.,2025-08-20T13:31:56.843157Z,11,2025-11-14T06:38:28.636215
50,Buendía,Emiliano Buendía Stati,2,Aston Villa,MID,53,a,0.4,5.5,4.3,39,435,40.5,180.6,112.7,111.0,100.0,80.0,Bournemouth (H),3,1,,2025-10-31T00:00:08.522687Z,11,2025-11-14T06:38:28.636215
